Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
W44X408,W,0.012,1.1379199999999998,0.40894,408.0,0.000160992,6.3232e-06,0.0028372,0.00030996,673.2
W44X368,W,0.0108,1.1277599999999999,0.4064,368.0,0.000144352,5.615999999999999e-06,0.0025583999999999997,0.00027716,607.2
W44X335,W,0.009850000000000001,1.1176,0.40386,335.0,0.000129376,4.992e-06,0.0023124,0.000246,552.75
W44X290,W,0.00854,1.10744,0.40132,290.0,0.00011232,4.3264e-06,0.0020336,0.00021648,478.5
W44X262,W,0.00772,1.0998199999999998,0.40132,262.0,0.000100256,3.83968e-06,0.0018204,0.00019187999999999999,432.3
W44X230,W,0.0067800000000000004,1.0896599999999999,0.40132,230.0,8.6528e-05,3.31136e-06,0.0015924399999999999,0.00016564,379.5
W40X655,W,0.0193,1.10744,0.4292599999999999,655.0,0.00023503999999999997,1.1939199999999999e-05,0.0042476,0.0005576,1080.75
W40X593,W,0.017400000000000002,1.0922,0.42417999999999995,593.0,0.00020966399999999998,1.04832e-05,0.0038376,0.00049528,978.45
W40X503,W,0.0148,1.06934,0.41655999999999993,503.0,0.000173056,8.486399999999999e-06,0.0032472,0.00040836,829.95
W40X431,W,0.012700000000000001,1.0490199999999998,0.41147999999999996,431.0,0.00014476799999999998,7.0304e-06,0.0027716,0.00034112,711.15
W40X397,W,0.0117,1.0413999999999999,0.40894,397.0,0.00013312,6.406399999999999e-06,0.0025583999999999997,0.00031324,655.05
W40X372,W,0.011000000000000001,1.03124,0.40894,372.0,0.00012313599999999998,5.9072e-06,0.0023944,0.00029028,613.8
W40X362,W,0.0106,1.03124,0.4064,362.0,0.00012022399999999999,5.740799999999999e-06,0.0023288,0.00028372,597.3
W40X324,W,0.00953,1.02108,0.40386,324.0,0.00010649599999999999,5.075199999999999e-06,0.0020992,0.00025092,534.6
W40X297,W,0.00873,1.0109199999999998,0.40132,297.0,9.651199999999999e-05,4.534399999999999e-06,0.0019188,0.00022632,490.05
W40X277,W,0.008150000000000001,1.00838,0.40132,277.0,9.110399999999999e-05,4.3264e-06,0.001804,0.00021648,457.05
W40X249,W,0.007350000000000001,1.0007599999999999,0.40132,249.0,8.1536e-05,3.85216e-06,0.00162852,0.00019352,410.85
W40X215,W,0.006350000000000001,0.9905999999999999,0.40132,215.0,6.9472e-05,3.34048e-06,0.00140876,0.00016564,354.75
W40X199,W,0.00588,0.9829800000000001,0.40132,199.0,6.1984e-05,2.8912e-06,0.0012628,0.00014464800000000002,328.35
W40X392,W,0.011600000000000001,1.05664,0.31496,392.0,0.00012438399999999998,3.34048e-06,0.0023616,0.0002132,646.8
W40X331,W,0.009770000000000001,1.03632,0.30988,331.0,0.000102752,2.67904e-06,0.0019844,0.00017384,546.15
W40X327,W,0.009590000000000001,1.03632,0.30734,327.0,0.00010191999999999999,2.6623999999999997e-06,0.001968,0.00017219999999999998,539.55
W40X294,W,0.008620000000000001,1.02616,0.30479999999999996,294.0,9.110399999999999e-05,2.33792e-06,0.0017712,0.00015334,485.1
W40X278,W,0.00823,1.02108,0.30479999999999996,278.0,8.528e-05,2.16736e-06,0.0016728,0.000142844,458.7
W40X264,W,0.007740000000000001,1.016,0.30226,264.0,8.070399999999999e-05,2.05088e-06,0.0015924399999999999,0.000135464,435.6
W40X235,W,0.0069099999999999995,1.00838,0.30226,235.0,7.238399999999999e-05,1.84704e-06,0.001435,0.00012234399999999998,387.75
W40X211,W,0.00621,1.0007599999999999,0.29972,211.0,6.447999999999999e-05,1.6224e-06,0.00128904,0.00010840399999999999,348.15
W40X183,W,0.00533,0.9905999999999999,0.29972,183.0,5.4912e-05,1.3769599999999999e-06,0.001107,9.184e-05,301.95
W40X167,W,0.00493,0.98044,0.29972,167.0,4.825599999999999e-05,1.17728e-06,0.000984,7.8556e-05,275.55
W40X149,W,0.00438,0.97028,0.29972,149.0,4.0768e-05,9.526399999999999e-07,0.00084132,6.363199999999999e-05,245.85
W36X925,W,0.027200000000000002,1.09474,0.47244,925.0,0.00030367999999999997,2.05504e-05,0.0055596,0.00087084,1526.25
W36X853,W,0.0251,1.09474,0.46227999999999997,853.0,0.0002912,1.9135999999999998e-05,0.00533,0.0008282,1407.45
W36X802,W,0.0236,1.08204,0.4572,802.0,0.000269568,1.7513599999999998e-05,0.0049856,0.0007675199999999999,1323.3
W36X723,W,0.0213,1.0617199999999998,0.45212,723.0,0.00023836799999999998,1.5391999999999998e-05,0.0044935999999999995,0.00068224,1192.95
W36X652,W,0.019200000000000002,1.04394,0.44704,652.0,0.00021049599999999998,1.34368e-05,0.0040344,0.00060188,1075.8
W36X529,W,0.015600000000000001,1.0109199999999998,0.43688,529.0,0.000164736,1.0358399999999999e-05,0.0032635999999999997,0.00047396,872.85
W36X487,W,0.0143,0.9982199999999999,0.43434,487.0,0.00014975999999999998,9.359999999999998e-06,0.0030012,0.00043132,803.55
W36X441,W,0.013000000000000001,0.9880599999999999,0.43179999999999996,441.0,0.000133536,8.2784e-06,0.002706,0.0003854,727.65
W36X395,W,0.011600000000000001,0.9753599999999999,0.42672,395.0,0.00011855999999999999,7.28e-06,0.0024435999999999998,0.00034112,651.75
