Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
HSS28X1.000,HSS,0.00791,,,288.63,3.016e-05,3.016e-05,0.00084952,0.00084952,525.31
HSS28X.875,HSS,0.00695,,,253.72,2.67488e-05,2.67488e-05,0.00075276,0.00075276,461.77
HSS28X.750,HSS,0.00598,,,218.48,2.32128e-05,2.32128e-05,0.00065272,0.00065272,397.63
HSS28X.625,HSS,0.00501,,,182.9,1.95936e-05,1.95936e-05,0.00055104,0.00055104,332.88
HSS28X.500,HSS,0.00402,,,146.99,1.58496e-05,1.58496e-05,0.00044608,0.00044608,267.52
HSS28X.375,HSS,0.00303,,,110.74,1.2064e-05,1.2064e-05,0.00033948,0.00033948,201.55
HSS26X.750,HSS,0.00554,,,202.44,1.84704e-05,1.84704e-05,0.00056088,0.00056088,368.44
HSS26X.625,HSS,0.00464,,,169.54,1.56e-05,1.56e-05,0.00047396,0.00047396,308.56
HSS26X.500,HSS,0.00373,,,136.3,1.26464e-05,1.26464e-05,0.00038376,0.00038376,248.07
HSS26X.375,HSS,0.00281,,,102.73,9.6096e-06,9.6096e-06,0.00029192,0.00029192,186.97
HSS26X.313,HSS,0.00235,,,85.81,8.0704e-06,8.0704e-06,0.00024436,0.00024436,156.17
HSS24X1.000,HSS,0.00674,,,245.87,1.86784e-05,1.86784e-05,0.00061336,0.00061336,447.48
HSS24X.875,HSS,0.00593,,,216.31,1.65984e-05,1.65984e-05,0.00054448,0.00054448,393.68
HSS24X.750,HSS,0.00511,,,186.41,1.44352e-05,1.44352e-05,0.00047396,0.00047396,339.27
HSS24X.625,HSS,0.00428,,,156.18,1.21888e-05,1.21888e-05,0.00040016,0.00040016,284.25
HSS24X.500,HSS,0.00344,,,125.61,9.9008e-06,9.9008e-06,0.00032472,0.00032472,228.61
HSS24X.375,HSS,0.00259,,,94.71,7.5296e-06,7.5296e-06,0.00024764,0.00024764,172.37
HSS24X.313,HSS,0.00216,,,79.13,6.3232e-06,6.3232e-06,0.00020828,0.00020828,144.02
HSS22X.750,HSS,0.00467,,,170.37,1.1024e-05,1.1024e-05,0.00039524,0.00039524,310.07
HSS22X.625,HSS,0.00391,,,142.81,9.3184e-06,9.3184e-06,0.00033456,0.00033456,259.91
HSS22X.500,HSS,0.00315,,,114.92,7.5712e-06,7.5712e-06,0.00027224,0.00027224,209.15
HSS22X.375,HSS,0.00237,,,86.69,5.7824e-06,5.7824e-06,0.00020664,0.00020664,157.78
HSS22X.313,HSS,0.00198,,,72.45,4.8672e-06,4.8672e-06,0.00017384,0.00017384,131.86
HSS20X1.000,HSS,0.00557,,,203.11,1.05664e-05,1.05664e-05,0.00041656,0.00041656,369.66
HSS20X.875,HSS,0.0049,,,178.89,9.4016e-06,9.4016e-06,0.00037064,0.00037064,325.58
HSS20X.750,HSS,0.00423,,,154.34,8.1952e-06,8.1952e-06,0.00032308,0.00032308,280.9
HSS20X.625,HSS,0.00355,,,129.45,6.9472e-06,6.9472e-06,0.00027388,0.00027388,235.6
HSS20X.500,HSS,0.00285,,,104.0,5.6576e-06,5.6576e-06,0.00022304,0.00022304,189.28
HSS20X.375,HSS,0.00215,,,78.67,4.3264e-06,4.3264e-06,0.00017056,0.00017056,143.18
HSS20X.313,HSS,0.0018,,,65.77,3.63584e-06,3.63584e-06,0.000143336,0.000143336,119.7
HSS20X.250,HSS,0.00144,,,52.78,2.9328e-06,2.9328e-06,0.00011562,0.00011562,96.06
HSS18X1.000,HSS,0.00499,,,181.73,7.5712e-06,7.5712e-06,0.00033128,0.00033128,330.75
HSS18X.875,HSS,0.00439,,,160.19,6.7808e-06,6.7808e-06,0.00029684,0.00029684,291.55
HSS18X.750,HSS,0.00379,,,138.3,5.9072e-06,5.9072e-06,0.00025912,0.00025912,251.71
HSS18X.625,HSS,0.00318,,,116.09,5.0336e-06,5.0336e-06,0.00021976,0.00021976,211.28
HSS18X.500,HSS,0.00256,,,93.54,4.0976e-06,4.0976e-06,0.00017876,0.00017876,170.24
HSS18X.375,HSS,0.00194,,,70.66,3.13664e-06,3.13664e-06,0.000137432,0.000137432,128.6
HSS18X.313,HSS,0.00162,,,59.09,2.63744e-06,2.63744e-06,0.000115456,0.000115456,107.54
HSS18X.250,HSS,0.0013,,,47.44,2.12992e-06,2.12992e-06,9.3316e-05,9.3316e-05,86.34
HSS16X1.000,HSS,0.0044,,,160.35,5.2e-06,5.2e-06,0.00025748,0.00025748,291.84
HSS16X.875,HSS,0.00388,,,141.48,4.6592e-06,4.6592e-06,0.0002296,0.0002296,257.49
HSS16X.750,HSS,0.00335,,,122.27,4.09344e-06,4.09344e-06,0.00020172,0.00020172,222.53
HSS16X.625,HSS,0.00281,,,103.0,3.48608e-06,3.48608e-06,0.0001722,0.0001722,187.46
HSS16X.500,HSS,0.00227,,,82.85,2.8496e-06,2.8496e-06,0.000140548,0.000140548,150.79
HSS16X.438,HSS,0.00199,,,72.87,2.52096e-06,2.52096e-06,0.000124312,0.000124312,132.62
HSS16X.375,HSS,0.00172,,,62.64,2.18816e-06,2.18816e-06,0.000107748,0.000107748,114.0
HSS16X.312,HSS,0.00144,,,52.32,1.84288e-06,1.84288e-06,9.0856e-05,9.0856e-05,95.22
HSS16X.250,HSS,0.00115,,,42.09,1.49344e-06,1.49344e-06,7.3472e-05,7.3472e-05,76.6
HSS14X1.000,HSS,0.00382,,,138.97,3.4112e-06,3.4112e-06,0.00019188,0.00019188,252.93
HSS14X.875,HSS,0.00337,,,122.77,3.0576e-06,3.0576e-06,0.0001722,0.0001722,223.44
HSS14X.750,HSS,0.00291,,,106.23,2.69152e-06,2.69152e-06,0.000151536,0.000151536,193.34
HSS14X.625,HSS,0.00245,,,89.36,2.29632e-06,2.29632e-06,0.000129396,0.000129396,162.64
HSS14X.500,HSS,0.00198,,,72.16,1.88448e-06,1.88448e-06,0.000106272,0.000106272,131.33
HSS14X.375,HSS,0.0015,,,54.62,1.45184e-06,1.45184e-06,8.1672e-05,8.1672e-05,99.41
HSS14X.312,HSS,0.00125,,,45.65,1.2272e-06,1.2272e-06,6.9044e-05,6.9044e-05,83.08
HSS14X.250,HSS,0.00101,,,36.75,9.9424e-07,9.9424e-07,5.5924e-05,5.5924e-05,66.89
HSS14X.188,HSS,0.000757,,,27.69,7.5296e-07,7.5296e-07,4.2476e-05,4.2476e-05,50.4
HSS13.375X.625,HSS,0.00234,,,85.19,1.99264e-06,1.99264e-06,0.000117424,0.000117424,155.05
HSS13.375X.500,HSS,0.00189,,,68.82,1.63488e-06,1.63488e-06,9.6432e-05,9.6432e-05,125.25
HSS13.375X.375,HSS,0.00143,,,52.11,1.26048e-06,1.26048e-06,7.4292e-05,7.4292e-05,94.84
HSS13.375X.313,HSS,0.00119,,,43.64,1.06496e-06,1.06496e-06,6.2648e-05,6.2648e-05,79.42
HSS13.375X.250,HSS,0.00096,,,35.08,8.6112e-07,8.6112e-07,5.084e-05,5.084e-05,63.85
HSS13.375X.188,HSS,0.000723,,,26.43,6.5728e-07,6.5728e-07,3.8704e-05,3.8704e-05,48.1
HSS12.75X.750,HSS,0.00264,,,96.21,2.00096e-06,2.00096e-06,0.00012382,0.00012382,175.1
HSS12.75X.625,HSS,0.00222,,,81.01,1.71392e-06,1.71392e-06,0.000106108,0.000106108,147.44
HSS12.75X.500,HSS,0.00179,,,65.48,1.41024e-06,1.41024e-06,8.7248e-05,8.7248e-05,119.17
