Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
HSS34X10X1,HSS,0.00762,,,277.07,0.000039936,0.0000055744,0.0009266,0.00043952,504.27
HSS34X10X.875,HSS,0.00673,,,244.88,0.000035776,0.0000050336,0.00082984,0.00039688,445.68
HSS34X10X.750,HSS,0.00582,,,212,0.000031408,0.0000044512,0.00072816,0.0003526,385.84
HSS34X10X.625,HSS,0.00489,,,178.41,0.0000267488,0.00000384384,0.00061992,0.0003034,324.71
HSS30X10X1,HSS,0.00687,,,249.85,0.000028704,0.0000049088,0.0007544,0.00038868,454.73
HSS30X10X.875,HSS,0.00608,,,221.06,0.0000257504,0.0000044512,0.00067732,0.0003526,402.33
HSS30X10X.750,HSS,0.00526,,,191.58,0.0000226304,0.00000396032,0.00059532,0.0003116,348.68
HSS30X10X.625,HSS,0.00443,,,161.4,0.0000193024,0.0000034112,0.0005084,0.00026896,293.75
HSS30X10X.500,HSS,0.00358,,,130.52,0.0000158496,0.00000282464,0.00041656,0.00022304,237.55
HSS24X20X.750,HSS,0.00582,,,212,0.0000206336,0.0000156,0.00067732,0.000615,385.84
HSS24X20X.625,HSS,0.00489,,,178.41,0.0000175552,0.0000132704,0.00057564,0.00052316,324.71
HSS24X20X.500,HSS,0.00395,,,144.13,0.000014352,0.0000108576,0.00047068,0.00042804,262.32
HSS24X20X.375,HSS,0.00299,,,109.15,0.0000109824,0.00000832,0.0003608,0.000328,198.65
HSS24X20X.313,HSS,0.00251,,,91.39,0.0000092768,0.0000070304,0.00030504,0.00027716,166.33
HSS24X18X.750,HSS,0.00554,,,201.79,0.0000190528,0.0000122304,0.00062648,0.00053628,367.26
HSS24X18X.625,HSS,0.00466,,,169.91,0.000016224,0.0000104416,0.000533,0.00045756,309.24
HSS24X18X.500,HSS,0.00376,,,137.32,0.0000132704,0.0000085696,0.00043624,0.00037556,249.92
HSS24X18X.375,HSS,0.00285,,,104.04,0.000010192,0.0000065728,0.00033456,0.00028864,189.35
HSS24X18X.313,HSS,0.00239,,,87.14,0.0000085696,0.0000055328,0.00028208,0.00024272,158.59
HSS24X16X.750,HSS,0.00526,,,191.58,0.000017472,0.00000936,0.000574,0.00046084,348.68
HSS24X16X.625,HSS,0.00443,,,161.4,0.0000148928,0.0000079872,0.00048872,0.0003936,293.75
HSS24X16X.500,HSS,0.00358,,,130.52,0.0000121888,0.0000065728,0.00040016,0.00032308,237.55
HSS24X16X.375,HSS,0.00271,,,98.94,0.00000936,0.0000050336,0.00030832,0.00024928,180.07
HSS24X16X.313,HSS,0.00227,,,82.88,0.000007904,0.0000042848,0.00025912,0.00020992,150.84
HSS24X14X.750,HSS,0.00498,,,181.37,0.0000158912,0.0000069056,0.00052152,0.00038868,330.09
HSS24X14X.625,HSS,0.00419,,,152.89,0.0000135616,0.0000059072,0.00044608,0.00033292,278.26
HSS24X14X.500,HSS,0.00339,,,123.71,0.0000111488,0.0000048672,0.00036572,0.00027388,225.15
