Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd),Depth,Width
HSS22X22X1,HSS,0.00762,,,277.07,2.3088e-05,2.3088e-05,0.0008282,0.0008282,504.27,22.0,22.0
HSS22X22X.875,HSS,0.00673,,,244.88,2.06752e-05,2.06752e-05,0.00074128,0.00074128,445.68,22.0,22.0
HSS22X22X.750,HSS,0.00582,,,212.0,1.8096e-05,1.8096e-05,0.0006478,0.0006478,385.84,22.0,22.0
HSS22X22X.625,HSS,0.00489,,,178.41,1.54336e-05,1.54336e-05,0.00055268,0.00055268,324.71,22.0,22.0
HSS22X22X.500,HSS,0.00395,,,144.13,1.26048e-05,1.26048e-05,0.00045264,0.00045264,262.32,22.0,22.0
HSS20X20X1,HSS,0.00687,,,249.85,1.7056e-05,1.7056e-05,0.0006724,0.0006724,454.73,20.0,20.0
HSS20X20X.875,HSS,0.00608,,,221.06,1.52672e-05,1.52672e-05,0.00060188,0.00060188,402.33,20.0,20.0
HSS20X20X.750,HSS,0.00526,,,191.58,1.34368e-05,1.34368e-05,0.00052972,0.00052972,348.68,20.0,20.0
HSS20X20X.625,HSS,0.00443,,,161.4,1.144e-05,1.144e-05,0.000451,0.000451,293.75,20.0,20.0
HSS20X20X.500,HSS,0.00358,,,130.52,9.4016e-06,9.4016e-06,0.00037064,0.00037064,237.55,20.0,20.0
HSS20X20X.375,HSS,0.00271,,,98.94,7.2384e-06,7.2384e-06,0.00028536,0.00028536,180.07,20.0,20.0
HSS20X20X.313,HSS,0.00227,,,82.88,6.0736e-06,6.0736e-06,0.00023944,0.00023944,150.84,20.0,20.0
HSS18X18X1,HSS,0.00613,,,222.63,1.21472e-05,1.21472e-05,0.00053136,0.00053136,405.19,18.0,18.0
HSS18X18X.875,HSS,0.00543,,,197.24,1.09408e-05,1.09408e-05,0.00047888,0.00047888,358.98,18.0,18.0
HSS18X18X.750,HSS,0.00471,,,171.16,9.6512e-06,9.6512e-06,0.00042312,0.00042312,311.51,18.0,18.0
HSS18X18X.625,HSS,0.00396,,,144.39,8.2368e-06,8.2368e-06,0.0003608,0.0003608,262.79,18.0,18.0
HSS18X18X.500,HSS,0.00321,,,116.91,6.7808e-06,6.7808e-06,0.00029684,0.00029684,212.78,18.0,18.0
HSS18X18X.375,HSS,0.00243,,,88.73,5.2e-06,5.2e-06,0.00022796,0.00022796,161.49,18.0,18.0
HSS18X18X.313,HSS,0.00204,,,74.38,4.4096e-06,4.4096e-06,0.00019352,0.00019352,135.37,18.0,18.0
HSS18X18X.250,HSS,0.00164,,,59.85,3.5776e-06,3.5776e-06,0.000156784,0.000156784,108.93,18.0,18.0
HSS16X16X1,HSS,0.00538,,,195.4,8.2784e-06,8.2784e-06,0.00040836,0.00040836,355.63,16.0,16.0
HSS16X16X.875,HSS,0.00477,,,173.43,7.488e-06,7.488e-06,0.000369,0.000369,315.64,16.0,16.0
HSS16X16X.750,HSS,0.00415,,,150.75,6.6144e-06,6.6144e-06,0.00032636,0.00032636,274.37,16.0,16.0
HSS16X16X.625,HSS,0.0035,,,127.37,5.6992e-06,5.6992e-06,0.00028044,0.00028044,231.81,16.0,16.0
HSS16X16X.500,HSS,0.00283,,,103.3,4.7008e-06,4.7008e-06,0.00023124,0.00023124,188.01,16.0,16.0
HSS16X16X.375,HSS,0.00215,,,78.52,3.63168e-06,3.63168e-06,0.00017876,0.00017876,142.91,16.0,16.0
HSS16X16X.313,HSS,0.00181,,,65.87,3.07424e-06,3.07424e-06,0.000151372,0.000151372,119.88,16.0,16.0
HSS16X16X.250,HSS,0.00146,,,53.05,2.496e-06,2.496e-06,0.000123,0.000123,96.55,16.0,16.0
HSS14X14X1,HSS,0.00464,,,168.18,5.3664e-06,5.3664e-06,0.00030176,0.00030176,306.09,14.0,14.0
HSS14X14X.875,HSS,0.00412,,,149.61,4.8672e-06,4.8672e-06,0.00027388,0.00027388,272.29,14.0,14.0
HSS14X14X.750,HSS,0.00359,,,130.33,4.3264e-06,4.3264e-06,0.00024436,0.00024436,237.2,14.0,14.0
HSS14X14X.625,HSS,0.00303,,,110.36,3.73152e-06,3.73152e-06,0.00020992,0.00020992,200.86,14.0,14.0
HSS14X14X.500,HSS,0.00246,,,89.68,3.09088e-06,3.09088e-06,0.00017384,0.00017384,163.22,14.0,14.0
HSS14X14X.375,HSS,0.00187,,,68.31,2.40032e-06,2.40032e-06,0.0001353,0.0001353,124.32,14.0,14.0
HSS14X14X.313,HSS,0.00157,,,57.36,2.0384e-06,2.0384e-06,0.000114636,0.000114636,104.4,14.0,14.0
HSS14X14X.250,HSS,0.00127,,,46.24,1.65984e-06,1.65984e-06,9.348e-05,9.348e-05,84.16,14.0,14.0
HSS12X12X1,HSS,0.0039,,,140.96,3.21152e-06,3.21152e-06,0.00021156,0.00021156,256.55,12.0,12.0
HSS12X12X.875,HSS,0.00347,,,125.79,2.93696e-06,2.93696e-06,0.00019352,0.00019352,228.94,12.0,12.0
HSS12X12X.750,HSS,0.00303,,,109.91,2.62496e-06,2.62496e-06,0.0001722,0.0001722,200.04,12.0,12.0
HSS12X12X.625,HSS,0.00257,,,93.34,2.27968e-06,2.27968e-06,0.000149896,0.000149896,169.88,12.0,12.0
HSS12X12X.500,HSS,0.00209,,,76.07,1.90112e-06,1.90112e-06,0.000124968,0.000124968,138.45,12.0,12.0
HSS12X12X.375,HSS,0.0016,,,58.1,1.48512e-06,1.48512e-06,9.758e-05,9.758e-05,105.74,12.0,12.0
HSS12X12X.313,HSS,0.00134,,,48.86,1.26464e-06,1.26464e-06,8.3148e-05,8.3148e-05,88.93,12.0,12.0
HSS12X12X.250,HSS,0.00108,,,39.43,1.03168e-06,1.03168e-06,6.7896e-05,6.7896e-05,71.76,12.0,12.0
