Shape,Area (m2),Depth (m),Width (m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
W100x19,0.00248,0.106,0.103,0.00000477,0.00000161,0.000103,0.000048,32.12
W130x24,0.00302,0.127,0.127,0.00000884,0.00000311,0.000157,0.0000746,39.12
W130x28,0.00359,0.131,0.128,0.000011,0.00000381,0.000191,0.0000908,46.5
W150x13,0.00161,0.148,0.1,0.00000613,0.000000818,0.000093,0.0000253,20.85
W150x14,0.00173,0.15,0.1,0.00000687,0.000000918,0.000103,0.0000283,22.41
W150x18,0.00229,0.153,0.102,0.00000917,0.00000126,0.000136,0.0000383,29.66
W150x22,0.00286,0.152,0.152,0.0000121,0.00000387,0.000177,0.0000776,37.04
W150x24,0.00306,0.16,0.102,0.0000134,0.00000183,0.000192,0.0000553,39.63
W150x30,0.00381,0.157,0.153,0.0000172,0.00000556,0.000245,0.000111,49.35
W150x37,0.00475,0.162,0.154,0.0000223,0.00000707,0.000311,0.00014,61.52
W200x15,0.0019,0.2,0.1,0.0000127,0.000000869,0.000145,0.0000271,24.61
W200x19,0.00248,0.203,0.102,0.0000166,0.00000115,0.000187,0.0000356,32.12
W200x21,0.0027,0.203,0.133,0.0000198,0.00000251,0.000217,0.000058,34.97
W200x22,0.00286,0.206,0.102,0.00002,0.00000142,0.000222,0.0000437,37.04
W200x27,0.00339,0.207,0.133,0.0000258,0.0000033,0.000279,0.0000761,43.91
W200x31,0.004,0.21,0.134,0.0000314,0.0000041,0.000335,0.0000938,51.81
W200x36,0.00457,0.201,0.165,0.0000344,0.00000764,0.000379,0.000141,59.19
W200x42,0.00531,0.205,0.166,0.0000409,0.000009,0.000445,0.000165,68.78
W200x46,0.00586,0.203,0.203,0.0000454,0.0000153,0.000495,0.000229,75.9
W200x52,0.00665,0.206,0.204,0.0000527,0.0000178,0.000569,0.000266,86.13
W200x59,0.00756,0.21,0.205,0.0000611,0.0000204,0.000653,0.000303,97.92
W200x71,0.0091,0.216,0.206,0.0000766,0.0000254,0.000803,0.000375,117.87
W200x86,0.011,0.222,0.209,0.0000947,0.0000314,0.000981,0.000458,142.48
W200x100,0.0127,0.229,0.21,0.000113,0.0000366,0.00115,0.000533,164.5
W250x18,0.00227,0.251,0.101,0.0000224,0.000000913,0.000207,0.0000286,29.4
W250x22,0.00285,0.254,0.102,0.0000289,0.00000123,0.000263,0.0000381,36.91
W250x24,0.00311,0.253,0.145,0.0000347,0.00000326,0.000307,0.000069,40.28
W250x25,0.00323,0.257,0.102,0.0000342,0.00000149,0.000307,0.0000462,41.84
W250x28,0.00363,0.26,0.102,0.00004,0.00000178,0.000353,0.0000547,47.02
W250x33,0.00417,0.258,0.146,0.0000489,0.00000473,0.000424,0.0000995,54.01
W250x39,0.00492,0.262,0.147,0.0000601,0.00000594,0.000513,0.000124,63.73
W250x45,0.00572,0.266,0.148,0.0000711,0.00000703,0.000602,0.000146,74.09
W250x49,0.00625,0.247,0.202,0.0000706,0.0000151,0.000633,0.000228,80.95
W250x58,0.00742,0.252,0.203,0.0000873,0.0000188,0.00077,0.000283,96.11
W250x67,0.00855,0.257,0.204,0.000104,0.0000222,0.000901,0.000332,110.74
W250x73,0.00928,0.253,0.254,0.000113,0.0000388,0.000985,0.000463,120.2
W250x80,0.0102,0.256,0.255,0.000126,0.0000431,0.00109,0.000513,132.12
W250x89,0.0114,0.26,0.256,0.000143,0.0000484,0.00123,0.000574,147.66
W250x101,0.0129,0.264,0.257,0.000164,0.0000555,0.0014,0.000656,167.09
W250x115,0.0146,0.269,0.259,0.000189,0.0000641,0.0016,0.000753,189.11
W250x131,0.0167,0.275,0.261,0.000221,0.0000745,0.00185,0.00087,216.31
W250x149,0.019,0.282,0.263,0.000259,0.0000862,0.00213,0.001,246.1
W250x167,0.0213,0.289,0.265,0.0003,0.0000988,0.00243,0.00114,275.89
W310x21,0.00269,0.303,0.101,0.000037,0.000000983,0.000287,0.0000312,34.84
W310x24,0.00304,0.305,0.101,0.0000427,0.00000116,0.000328,0.0000367,39.38
W310x28,0.00361,0.309,0.102,0.0000543,0.00000158,0.000407,0.0000492,46.76
W310x31,0.00393,0.306,0.164,0.0000654,0.00000544,0.000476,0.000102,50.9
W310x33,0.00418,0.313,0.102,0.000065,0.00000192,0.00048,0.0000596,54.14
W310x39,0.00494,0.31,0.165,0.0000851,0.00000727,0.00061,0.000135,63.99
W310x45,0.00569,0.313,0.166,0.0000992,0.00000855,0.000708,0.000158,73.7
W310x52,0.00667,0.318,0.167,0.000119,0.0000103,0.000841,0.000189,86.39
W310x60,0.00753,0.303,0.203,0.000128,0.0000183,0.000933,0.000275,97.53
W310x67,0.00845,0.306,0.204,0.000144,0.0000207,0.00105,0.00031,109.45
W310x74,0.00943,0.31,0.205,0.000164,0.0000234,0.00118,0.00035,122.14
W310x79,0.0101,0.306,0.254,0.000177,0.0000399,0.00128,0.000478,130.82
W310x86,0.011,0.31,0.254,0.000199,0.0000445,0.00142,0.000533,142.48
W310x97,0.0123,0.308,0.305,0.000222,0.0000729,0.00159,0.000725,159.32
W310x107,0.0136,0.311,0.306,0.000248,0.0000812,0.00177,0.000806,176.15
W310x118,0.015,0.314,0.307,0.000275,0.0000902,0.00195,0.000893,194.29
W310x129,0.0165,0.318,0.308,0.000308,0.0001,0.00216,0.000991,213.72
W310x143,0.0182,0.323,0.309,0.000348,0.000113,0.00242,0.00111,235.74
W310x158,0.0201,0.327,0.31,0.000386,0.000125,0.00267,0.00122,260.35
W310x179,0.0228,0.333,0.313,0.000445,0.000144,0.00305,0.0014,295.32
W310x202,0.0258,0.341,0.315,0.00052,0.000166,0.00351,0.00161,334.17
W310x226,0.0289,0.348,0.317,0.000596,0.000189,0.00398,0.00183,374.33
W310x253,0.0322,0.356,0.319,0.000682,0.000215,0.00449,0.00206,417.07
W310x283,0.036,0.365,0.322,0.000787,0.000246,0.0051,0.00234,466.29
W310x313,0.0399,0.374,0.325,0.000896,0.000277,0.00572,0.00262,516.8
W310x342,0.0437,0.382,0.328,0.00101,0.00031,0.00633,0.00291,566.02
W310x375,0.0477,0.391,0.33,0.00113,0.000344,0.007,0.00321,617.83
W310x415,0.0529,0.403,0.334,0.0013,0.000391,0.0079,0.00361,685.19
W310x454,0.0578,0.415,0.336,0.00148,0.000436,0.00882,0.004,748.65
W310x500,0.0638,0.427,0.34,0.00169,0.000494,0.00988,0.00449,826.37
W360x33,0.00417,0.349,0.127,0.0000827,0.00000291,0.000542,0.0000718,54.01
W360x39,0.00498,0.353,0.128,0.000102,0.00000375,0.000662,0.0000917,64.5
W360x45,0.00573,0.352,0.171,0.000122,0.00000818,0.000779,0.000148,74.22
W360x51,0.00645,0.355,0.171,0.000141,0.00000968,0.000894,0.000174,83.54
W360x57,0.00722,0.358,0.172,0.000161,0.0000111,0.00101,0.0002,93.52
W360x64,0.00814,0.347,0.203,0.000178,0.0000188,0.00114,0.000284,105.43
W360x72,0.0091,0.35,0.204,0.000201,0.0000214,0.00128,0.000322,117.87
W360x79,0.0101,0.354,0.205,0.000226,0.0000242,0.00143,0.000362,130.82
W360x91,0.0116,0.353,0.254,0.000267,0.0000448,0.00168,0.000538,150.25
W360x101,0.0129,0.357,0.255,0.000301,0.0000506,0.00188,0.000605,167.09
W360x110,0.014,0.36,0.256,0.000331,0.0000557,0.00206,0.000664,181.33
W360x122,0.0155,0.363,0.257,0.000365,0.0000615,0.00227,0.000732,200.76
W360x134,0.0171,0.356,0.369,0.000415,0.000151,0.00256,0.00124,221.49
W360x147,0.0188,0.36,0.37,0.000463,0.000167,0.00284,0.00137,243.51
W360x162,0.0206,0.364,0.371,0.000516,0.000186,0.00314,0.00152,266.82
W360x179,0.0228,0.368,0.373,0.000575,0.000207,0.00348,0.00168,295.32
W360x196,0.025,0.372,0.374,0.000636,0.000229,0.00384,0.00186,323.81
W360x216,0.0276,0.375,0.394,0.000712,0.000283,0.00426,0.00218,357.49
W360x237,0.0301,0.38,0.395,0.000788,0.00031,0.00469,0.00239,389.87
W360x262,0.0335,0.387,0.398,0.000894,0.00035,0.00526,0.00268,433.91
W360x287,0.0366,0.393,0.399,0.000997,0.000388,0.00581,0.00296,474.06
W360x314,0.0399,0.399,0.401,0.0011,0.000426,0.00637,0.00324,516.8
W360x347,0.0442,0.407,0.404,0.00125,0.000481,0.00714,0.00363,572.5
W360x382,0.0487,0.416,0.406,0.00141,0.000536,0.00797,0.00403,630.79
W360x421,0.0537,0.425,0.409,0.0016,0.000601,0.00888,0.00449,695.55
W360x463,0.059,0.435,0.412,0.0018,0.00067,0.00988,0.00498,764.2
W360x509,0.0649,0.446,0.416,0.00205,0.000754,0.011,0.00555,840.62
W360x551,0.0701,0.455,0.418,0.00226,0.000825,0.0121,0.00605,907.97
W360x592,0.0755,0.465,0.421,0.0025,0.000902,0.0131,0.00657,977.91
W360x634,0.0808,0.474,0.424,0.00274,0.000983,0.0142,0.00712,1046.56
W360x677,0.0863,0.483,0.428,0.00299,0.00107,0.0153,0.00768,1117.8
W360x744,0.0948,0.498,0.432,0.00342,0.0012,0.0172,0.00855,1227.9
W360x818,0.104,0.514,0.437,0.00392,0.00136,0.0193,0.00956,1347.06
W360x900,0.115,0.531,0.442,0.0045,0.00153,0.0216,0.0107,1489.54
W360x990,0.126,0.55,0.448,0.00519,0.00173,0.0243,0.012,1632.01
W360x1086,0.139,0.569,0.454,0.00596,0.00196,0.0272,0.0134,1800.4
W410x39,0.00499,0.399,0.14,0.000127,0.00000404,0.00073,0.0000906,64.63
W410x46,0.00589,0.403,0.14,0.000156,0.00000514,0.000885,0.000115,76.29
W410x54,0.00681,0.403,0.177,0.000186,0.0000101,0.00105,0.000177,88.21
W410x60,0.00758,0.407,0.178,0.000216,0.000012,0.00119,0.000209,98.18
W410x67,0.0086,0.41,0.179,0.000246,0.0000138,0.00136,0.000239,111.39
W410x74,0.00955,0.413,0.18,0.000275,0.0000156,0.00151,0.000269,123.7
W410x85,0.0108,0.417,0.181,0.000315,0.000018,0.00173,0.00031,139.89
W410x100,0.0129,0.415,0.26,0.000404,0.0000496,0.00216,0.000583,167.09
W410x114,0.0148,0.42,0.261,0.000468,0.0000573,0.00249,0.000673,191.7
W410x132,0.017,0.425,0.263,0.000545,0.0000674,0.00289,0.000788,220.19
W410x149,0.0192,0.431,0.265,0.000625,0.0000777,0.00328,0.000902,248.69
W460x52,0.00663,0.45,0.152,0.000212,0.00000634,0.00109,0.000131,85.88
W460x60,0.00759,0.455,0.153,0.000255,0.00000796,0.00128,0.000163,98.31
W460x61,0.00764,0.45,0.189,0.000254,0.0000122,0.00129,0.0002,98.96
W460x67,0.00856,0.454,0.19,0.000295,0.0000145,0.00147,0.000238,110.87
W460x68,0.00873,0.459,0.154,0.000297,0.00000941,0.00149,0.000192,113.08
W460x74,0.00945,0.457,0.19,0.000333,0.0000166,0.00165,0.000271,122.4
W460x82,0.0104,0.46,0.191,0.00037,0.0000186,0.00183,0.000303,134.71
W460x89,0.0114,0.463,0.192,0.00041,0.0000209,0.00201,0.000339,147.66
W460x97,0.0123,0.466,0.193,0.000445,0.0000228,0.00218,0.000368,159.32
W460x106,0.0135,0.469,0.194,0.000488,0.0000251,0.00239,0.000405,174.86
W460x113,0.0144,0.463,0.28,0.000556,0.0000633,0.00267,0.000691,186.52
W460x128,0.0164,0.467,0.282,0.000637,0.0000733,0.00305,0.000796,212.42
W460x144,0.0184,0.472,0.283,0.000726,0.0000836,0.00345,0.000906,238.33
W460x158,0.0201,0.476,0.284,0.000796,0.0000914,0.00378,0.000989,260.35
W460x177,0.0226,0.482,0.286,0.00091,0.000105,0.00428,0.00113,292.73
W460x193,0.0246,0.489,0.283,0.00102,0.000115,0.00475,0.00125,318.63
W460x213,0.0271,0.495,0.285,0.00114,0.000129,0.00527,0.0014,351.01
W460x235,0.0299,0.501,0.287,0.00127,0.000145,0.00584,0.00155,387.28
W460x260,0.0331,0.509,0.289,0.00144,0.000163,0.00653,0.00174,428.73
W460x286,0.0364,0.517,0.291,0.00161,0.000183,0.00724,0.00194,471.47
W460x315,0.04,0.525,0.293,0.0018,0.000204,0.00802,0.00216,518.1
W460x349,0.0444,0.535,0.296,0.00204,0.000233,0.00901,0.00244,575.09
W460x384,0.0489,0.545,0.299,0.00229,0.000261,0.01,0.00273,633.38
W460x421,0.0537,0.555,0.302,0.00257,0.000293,0.0111,0.00303,695.55
W460x464,0.0591,0.567,0.305,0.0029,0.000331,0.0124,0.0034,765.49
W530x66,0.00837,0.525,0.165,0.000351,0.00000857,0.00156,0.000166,108.41
W530x72,0.00912,0.524,0.207,0.0004,0.0000162,0.00175,0.000244,118.13
W530x74,0.00952,0.529,0.166,0.000411,0.0000104,0.00181,0.0002,123.31
W530x82,0.0105,0.528,0.209,0.000477,0.0000203,0.00206,0.000303,136
W530x85,0.0108,0.535,0.166,0.000485,0.0000126,0.0021,0.000242,139.89
W530x92,0.0118,0.533,0.209,0.000552,0.0000238,0.00236,0.000355,152.84
W530x101,0.0129,0.537,0.21,0.000617,0.0000269,0.00262,0.0004,167.09
W530x109,0.0139,0.539,0.211,0.000667,0.0000295,0.00283,0.000437,180.04
W530x123,0.0157,0.544,0.212,0.000761,0.0000338,0.00321,0.000499,203.35
W530x138,0.0176,0.549,0.214,0.000861,0.0000387,0.00361,0.000569,227.96
W530x150,0.0192,0.543,0.312,0.00101,0.000103,0.00415,0.00101,248.69
W530x165,0.0211,0.546,0.313,0.00111,0.000114,0.00455,0.00111,273.3
W530x182,0.0231,0.551,0.315,0.00124,0.000127,0.00504,0.00124,299.2
W530x196,0.025,0.554,0.316,0.00134,0.000139,0.00546,0.00135,323.81
W530x219,0.0279,0.56,0.318,0.00151,0.000157,0.00611,0.00152,361.37
W530x248,0.0314,0.571,0.315,0.00177,0.00018,0.00706,0.00176,406.71
W530x272,0.0346,0.577,0.318,0.00197,0.000202,0.00781,0.00196,448.16
W530x300,0.0382,0.585,0.319,0.00221,0.000225,0.00867,0.00218,494.79
W610x82,0.0105,0.599,0.178,0.000565,0.0000121,0.00221,0.000219,136
W610x84,0.0106,0.596,0.226,0.000603,0.0000226,0.00232,0.000311,137.3
W610x91,0.0115,0.598,0.227,0.000657,0.0000248,0.00252,0.000342,148.95
W610x92,0.0118,0.603,0.179,0.000651,0.0000144,0.00253,0.000259,152.84
