Shape,Area (m2),Depth (m),Width (m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
HS38x38x3.2,0.00041799999999999997,0.0381,0.0381,8.22e-08,8.22e-08,5.3500000000000004e-06,5.3500000000000004e-06,5.97
HS38x38x4.8,0.000578,0.0381,0.0381,1.01e-07,1.01e-07,6.95e-06,6.95e-06,8.26
HS51x51x3.2,0.00058,0.0508,0.0508,2.1399999999999998e-07,2.1399999999999998e-07,1.02e-05,1.02e-05,8.29
HS51x51x4.8,0.000821,0.0508,0.0508,2.79e-07,2.79e-07,1.3800000000000002e-05,1.3800000000000002e-05,11.73
HS51x51x6.4,0.0010299999999999999,0.0508,0.0508,3.19e-07,3.19e-07,1.6400000000000002e-05,1.6400000000000002e-05,14.72
HS64x64x3.2,0.000741,0.0635,0.0635,4.41e-07,4.41e-07,1.66e-05,1.66e-05,10.59
HS64x64x4.8,0.00106,0.0635,0.0635,5.939999999999999e-07,5.939999999999999e-07,2.3e-05,2.3e-05,15.14
HS64x64x6.4,0.0013499999999999999,0.0635,0.0635,7.03e-07,7.03e-07,2.8100000000000002e-05,2.8100000000000002e-05,19.29
HS64x64x8.0,0.0015999999999999999,0.0635,0.0635,7.79e-07,7.79e-07,3.21e-05,3.21e-05,22.86
HS76x76x3.2,0.0009029999999999999,0.0762,0.0762,7.9e-07,7.9e-07,2.4500000000000003e-05,2.4500000000000003e-05,12.9
HS76x76x4.8,0.00131,0.0762,0.0762,1.08e-06,1.08e-06,3.44e-05,3.44e-05,18.72
HS76x76x6.4,0.0016699999999999998,0.0762,0.0762,1.31e-06,1.31e-06,4.2800000000000004e-05,4.2800000000000004e-05,23.86
HS76x76x8.0,0.00201,0.0762,0.0762,1.49e-06,1.49e-06,4.9800000000000004e-05,4.9800000000000004e-05,28.72
HS76x76x9.5,0.00231,0.0762,0.0762,1.61e-06,1.61e-06,5.55e-05,5.55e-05,33.0
HS89x89x3.2,0.00106,0.0889,0.0889,1.29e-06,1.29e-06,3.3900000000000004e-05,3.3900000000000004e-05,15.14
HS89x89x4.8,0.00155,0.0889,0.0889,1.79e-06,1.79e-06,4.8200000000000006e-05,4.8200000000000006e-05,22.14
HS89x89x6.4,0.00199,0.0889,0.0889,2.2e-06,2.2e-06,6.050000000000001e-05,6.050000000000001e-05,28.43
HS89x89x8.0,0.00241,0.0889,0.0889,2.54e-06,2.54e-06,7.14e-05,7.14e-05,34.43
HS89x89x9.5,0.00279,0.0889,0.0889,2.8e-06,2.8e-06,8.05e-05,8.05e-05,39.86
HS102x102x3.2,0.00123,0.1016,0.1016,1.96e-06,1.96e-06,4.49e-05,4.49e-05,17.57
HS102x102x4.8,0.00179,0.1016,0.1016,2.75e-06,2.75e-06,6.43e-05,6.43e-05,25.57
HS102x102x6.4,0.00232,0.1016,0.1016,3.42e-06,3.42e-06,8.14e-05,8.14e-05,33.15
HS102x102x8.0,0.00282,0.1016,0.1016,3.99e-06,3.99e-06,9.680000000000001e-05,9.680000000000001e-05,40.29
HS102x102x9.5,0.00328,0.1016,0.1016,4.45e-06,4.45e-06,0.00011,0.00011,46.86
HS102x102x13,0.0040999999999999995,0.1016,0.1016,5.1e-06,5.1e-06,0.000131,0.000131,58.58
HS114x114x3.2,0.00139,0.1143,0.1143,2.83e-06,2.83e-06,5.7400000000000006e-05,5.7400000000000006e-05,19.86
HS114x114x4.8,0.0020399999999999997,0.1143,0.1143,4.01e-06,4.01e-06,8.27e-05,8.27e-05,29.15
HS114x114x6.4,0.00264,0.1143,0.1143,5.02e-06,5.02e-06,0.000105,0.000105,37.72
HS114x114x8.0,0.0032199999999999998,0.1143,0.1143,5.91e-06,5.91e-06,0.000126,0.000126,46.0
HS114x114x9.5,0.00376,0.1143,0.1143,6.65e-06,6.65e-06,0.000144,0.000144,53.72
HS114x114x13,0.00475,0.1143,0.1143,7.78e-06,7.78e-06,0.000175,0.000175,67.86
HS127x127x4.8,0.00228,0.127,0.127,5.6e-06,5.6e-06,0.00010300000000000001,0.00010300000000000001,32.57
HS127x127x6.4,0.00296,0.127,0.127,7.05e-06,7.05e-06,0.000132,0.000132,42.29
HS127x127x8.0,0.00362,0.127,0.127,8.36e-06,8.36e-06,0.00015900000000000002,0.00015900000000000002,51.72
HS127x127x9.5,0.00424,0.127,0.127,9.479999999999999e-06,9.479999999999999e-06,0.000183,0.000183,60.58
